"Checked"	"Protein FDR Confidence"	"Master"	"Accession"	"Description"	"Exp q-value"	"Sum PEP Score"	"Coverage"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of Protein Groups"	"Number of AAs"	"MW in kDa"	"calc pI"	"Found in Sample in S42 F42 Sample F5_100K 3"	"Found in Sample in S41 F41 Sample F5_100K 3"	"Found in Sample in S40 F40 Sample F5_100K 3"	"Found in Sample in S39 F39 Sample F5_100K 2"	"Found in Sample in S38 F38 Sample F5_100K 2"	"Found in Sample in S37 F37 Sample F5_100K 2"	"Found in Sample in S36 F36 Sample F5_100K 1"	"Found in Sample in S35 F35 Sample F5_100K 1"	"Found in Sample in S34 F34 Sample F5_100K 1"	"Found in Sample in S33 F33 Sample F5_10K 3"	"Found in Sample in S32 F32 Sample F5_10K 3"	"Found in Sample in S31 F31 Sample F5_10K 3"	"Found in Sample in S30 F30 Sample F5_10K 2"	"Found in Sample in S29 F29 Sample F5_10K 2"	"Found in Sample in S28 F28 Sample F5_10K 2"	"Found in Sample in S27 F27 Sample F5_10K 1"	"Found in Sample in S26 F26 Sample F5_10K 1"	"Found in Sample in S25 F25 Sample F5_10K 1"	"Found in Sample in S24 F24 Sample F3_100K 3"	"Found in Sample in S22 F22 Sample F3_100K 3"	"Found in Sample in S23 F23 Sample F3_100K 2"	"Found in Sample in S21 F21 Sample F3_100K 2"	"Found in Sample in S20 F20 Sample F3_100K 2"	"Found in Sample in S19 F19 Sample F3_100K 2"	"Found in Sample in S18 F18 Sample F3_100K 1"	"Found in Sample in S17 F17 Sample F3_100K 1"	"Found in Sample in S16 F16 Sample F3_100K 1"	"Found in Sample in S15 F15 Sample F3_10K 3"	"Found in Sample in S14 F14 Sample F3_10K 3"	"Found in Sample in S13 F13 Sample F3_10K 3"	"Found in Sample in S12 F12 Sample F3_10K 2"	"Found in Sample in S11 F11 Sample F3_10K 2"	"Found in Sample in S10 F10 Sample F3_10K 2"	"Found in Sample in S9 F9 Sample F3_10K 1"	"Found in Sample in S8 F8 Sample F3_10K 1"	"Modifications"	"Area F5_100K 3"	"Area F5_100K 2"	"Area F5_100K 1"	"Area F5_10K 3"	"Area F5_10K 2"	"Area F5_10K 1"	"Area F3_100K 3"	"Area F3_100K 2"	"Area F3_100K 1"	"Area F3_10K 3"	"Area F3_10K 2"	"Area F3_10K 1"	"emPAI"	"Score Sequest HT"	"Number of Peptides Sequest HT"
"False"	"High"	"IsMasterProtein"	"Q6ZS81"	"WD repeat- and FYVE domain-containing protein 4 OS=Homo sapiens OX=9606 GN=WDFY4 PE=1 SV=3"	"0.000"	"874.935"	"47.141959798995"	"114"	"2255"	"114"	"1"	"3184"	"353.4"	"6.32"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"31668950.3467882"	"24250384.5768229"	"7884494.68619792"	"141001238.777778"	"155352439.331597"	"61883400.2951389"	"55895778.2708333"	"95290022.6484375"	"143586883.243056"	"207834290.052083"	"108047917.075521"	"263112951.864583"	"9.288"	"4148.97"	"114"
"False"	"High"	"IsMasterProtein"	"P12814"	"Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2"	"0.000"	"839.092"	"81.5022421524664"	"78"	"2127"	"55"	"1"	"892"	"103.0"	"5.41"	"Not Found"	"High"	"High"	"Not Found"	"High"	"High"	"High"	"High"	"High"	"Not Found"	"High"	"High"	"Not Found"	"High"	"High"	"High"	"High"	"High"	"Low"	"High"	"High"	"Not Found"	"High"	"High"	"Not Found"	"High"	"High"	"Not Found"	"High"	"High"	"Medium"	"High"	"High"	"Not Found"	"High"	""	"62086818.6119792"	"53521626.2174479"	"11682290.3902995"	"278887738.484375"	"426764902.40625"	"57277901.2005208"	"12103614.5804036"	"802971075.873264"	"646645983.458333"	"891797337.796875"	"352537632.045139"	"1371566993.84375"	"334.292"	"4292.70"	"78"
"False"	"High"	"IsMasterProtein"	"P63261"	"Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1"	"0.000"	"791.049"	"97.8666666666667"	"51"	"9044"	"1"	"1"	"375"	"41.8"	"5.48"	"High"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"High"	"Not Found"	"Acetyl [N-Term]"	"1924904.66796875"	"975554.252929688"	""	"20191802.25"	"22097239.671875"	""	"43257567.15625"	"68082278.1875"	"31023261.25"	"58807963.625"	"27217876.1875"	"18205806.625"	"13894953.944"	"18335.67"	"51"
"False"	"High"	"IsMasterProtein"	"P60709"	"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1"	"0.000"	"788.771"	"97.8666666666667"	"51"	"9036"	"1"	"1"	"375"	"41.7"	"5.48"	"High"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Medium"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Acetyl [N-Term]"	"1559416.734375"	"1943038.296875"	""	""	""	"242384.442382813"	"1222458.546875"	""	""	""	""	""	"13894953.944"	"18303.99"	"51"
"False"	"High"	"IsMasterProtein"	"P11215"	"Integrin alpha-M OS=Homo sapiens OX=9606 GN=ITGAM PE=1 SV=2"	"0.000"	"766.129"	"60.6770833333333"	"73"	"2759"	"71"	"1"	"1152"	"127.1"	"7.23"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"152070265.154948"	"144305615.589844"	"52223399.4661458"	"526608568.414063"	"705847320.079861"	"143031192.210069"	"279579472.385417"	"2640529247.95313"	"1778875114.2717"	"1588226177.22396"	"921877716.911458"	"442192582.583333"	"127.64"	"5259.23"	"73"
"False"	"High"	"IsMasterProtein"	"P08575"	"Receptor-type tyrosine-protein phosphatase C OS=Homo sapiens OX=9606 GN=PTPRC PE=1 SV=3"	"0.000"	"759.523"	"58.95865237366"	"77"	"2150"	"77"	"1"	"1306"	"147.4"	"6.15"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"51536336.1831597"	"49718855.0286458"	"12028985.8107639"	"229897671.385417"	"343554887.77691"	"46847260.3025174"	"296226166.104167"	"1168849067.70703"	"996617217.189236"	"647179262.58724"	"467526243.888889"	"223207441.020833"	"105.701"	"4099.69"	"77"
"False"	"High"	"IsMasterProtein"	"Q92614"	"Unconventional myosin-XVIIIa OS=Homo sapiens OX=9606 GN=MYO18A PE=1 SV=3"	"0.000"	"731.651"	"52.5803310613437"	"94"	"1246"	"94"	"1"	"2054"	"233.0"	"6.30"	"High"	"High"	"High"	"Low"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Not Found"	"High"	"High"	"High"	"High"	"High"	"Low"	"High"	"High"	"Not Found"	"High"	"High"	"High"	"High"	"High"	"Low"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"10847558.0047743"	"8789771.50694445"	"5098950.57953559"	"55373701.0347222"	"85640312.3515625"	"13175134.984375"	"38762463.6302083"	"57278489.3055556"	"56653151.8576389"	"84276098.9184028"	"46572142.1831597"	"32954373.7473958"	"11.246"	"2372.01"	"94"
"False"	"High"	"IsMasterProtein"	"O43707"	"Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2"	"0.000"	"709.955"	"80.7903402854007"	"69"	"1683"	"45"	"1"	"911"	"104.8"	"5.44"	"Not Found"	"High"	"High"	"Not Found"	"High"	"High"	"High"	"High"	"High"	"Not Found"	"High"	"High"	"Not Found"	"High"	"High"	"Not Found"	"High"	"High"	"Not Found"	"High"	"High"	"Not Found"	"High"	"High"	"Not Found"	"High"	"High"	"Not Found"	"High"	"High"	"Low"	"High"	"High"	"Not Found"	"High"	""	"47163428.140625"	"43239782.1289063"	"9225187.02213542"	"123170418.203125"	"138374050.307292"	"69786778.1165365"	"8408127.0234375"	"369319150.256944"	"344706359.307292"	"416359526.104167"	"307552913.408854"	"991031060.75"	"99"	"3486.52"	"69"
"False"	"High"	"IsMasterProtein"	"Q7L576"	"Cytoplasmic FMR1-interacting protein 1 OS=Homo sapiens OX=9606 GN=CYFIP1 PE=1 SV=1"	"0.000"	"700.013"	"70.7901037509976"	"81"	"1746"	"57"	"1"	"1253"	"145.1"	"6.90"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"27385915.6809896"	"21803349.2756076"	"6996437.33474392"	"83827611.2465278"	"98256087.125868"	"31866024.5034722"	"67747353.5807292"	"309093201.30599"	"251168396.255208"	"172064149.615451"	"122215850.179688"	"237209074.804688"	"53.117"	"3173.66"	"81"
"False"	"High"	"IsMasterProtein"	"P42356"	"Phosphatidylinositol 4-kinase alpha OS=Homo sapiens OX=9606 GN=PI4KA PE=1 SV=4"	"0.000"	"698.800"	"50.6660323501427"	"89"	"1206"	"89"	"1"	"2102"	"236.7"	"7.06"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Not Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Low"	"High"	"High"	"Low"	"High"	"High"	"Low"	"High"	"High"	"Low"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"8651209.43098958"	"8341462.51931424"	"2423383.73079427"	"36612319.7604167"	"39779123.2677951"	"6804831.59754774"	"59046912.5677083"	"96179254.671875"	"103075239.153646"	"62218965.1840278"	"39870466.0295139"	"17123231.0846354"	"11.266"	"2025.80"	"89"
"False"	"High"	"IsMasterProtein"	"Q96BY6"	"Dedicator of cytokinesis protein 10 OS=Homo sapiens OX=9606 GN=DOCK10 PE=1 SV=3"	"0.000"	"671.880"	"50.32021957914"	"89"	"1216"	"87"	"1"	"2186"	"249.4"	"7.14"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"14708796.6197917"	"23060328.4631076"	"4124286.77907986"	"53610450.4609375"	"60997744.6180556"	"13857651.3628472"	"85937381.5911458"	"111564326.423177"	"96953711.7152778"	"141986728.730903"	"66802150.7135417"	"90158293.5078125"	"9.363"	"2271.07"	"89"
"False"	"High"	"IsMasterProtein"	"Q13576"	"Ras GTPase-activating-like protein IQGAP2 OS=Homo sapiens OX=9606 GN=IQGAP2 PE=1 SV=4"	"0.000"	"658.882"	"65.0793650793651"	"96"	"1517"	"95"	"1"	"1575"	"180.5"	"5.64"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"27015165.7630208"	"21170221.0698785"	"7479164.12434896"	"84765461.59375"	"80456581.5625"	"22556258.0208333"	"67142969.4479167"	"138813744.742188"	"140121588.435764"	"152075002.884549"	"83642370.5902778"	"150294816.947917"	"24.483"	"2750.84"	"96"
"False"	"High"	"IsMasterProtein"	"Q92616"	"eIF-2-alpha kinase activator GCN1 OS=Homo sapiens OX=9606 GN=GCN1 PE=1 SV=6"	"0.000"	"658.277"	"46.6117558966679"	"101"	"922"	"101"	"1"	"2671"	"292.6"	"7.47"	"High"	"High"	"High"	"High"	"High"	"High"	"Low"	"Low"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Low"	"High"	"High"	"Low"	"High"	"High"	"Not Found"	"High"	"High"	"Low"	"High"	"High"	"High"	"High"	"High"	"Low"	"High"	""	"6714812.60026042"	"6417446.62955729"	"6137332.06315104"	"40329621.6319444"	"45535387.578125"	"12723728.4006076"	"16337802.0195313"	"83590759.1458333"	"27493558.8632813"	"54247349.9201389"	"25215342.15625"	"144969564.432292"	"5.013"	"1733.88"	"101"
"False"	"High"	"IsMasterProtein"	"P16050"	"Arachidonate 15-lipoxygenase OS=Homo sapiens OX=9606 GN=ALOX15 PE=1 SV=3"	"0.000"	"654.139"	"85.8006042296072"	"62"	"2733"	"62"	"1"	"662"	"74.8"	"6.58"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"266864993.065972"	"200089317.559896"	"79290851.3229167"	"772022174.088542"	"909038644.211805"	"470588499.802083"	"1265549668.86458"	"776226613.367188"	"1628277914.53472"	"1606012076.88715"	"869271901.357639"	"3405814126.33333"	"836.678"	"5701.19"	"62"
"False"	"High"	"IsMasterProtein"	"P18206"	"Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4"	"0.000"	"648.079"	"67.636684303351"	"71"	"1394"	"71"	"1"	"1134"	"123.7"	"5.66"	"High"	"High"	"High"	"Low"	"High"	"High"	"High"	"High"	"High"	"Low"	"High"	"High"	"Low"	"High"	"High"	"High"	"High"	"High"	"Low"	"High"	"High"	"Low"	"High"	"High"	"Not Found"	"High"	"High"	"Not Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"26645371.7986111"	"23707724.1373698"	"10629948.8923611"	"62495784.9201389"	"64229095.5104167"	"35378617.2222222"	"13399785.8626302"	"272860069.614583"	"431187747.989583"	"466759128.59375"	"145327608.654514"	"479919151.583333"	"53.117"	"2409.81"	"71"
"False"	"High"	"IsMasterProtein"	"P13796"	"Plastin-2 OS=Homo sapiens OX=9606 GN=LCP1 PE=1 SV=6"	"0.000"	"641.445"	"87.2408293460925"	"62"	"2421"	"56"	"1"	"627"	"70.2"	"5.43"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"203633805.488281"	"184797863.838976"	"44740302.6871745"	"448524021.336806"	"594420791.119792"	"182419270.773003"	"1788080095.25651"	"914814293.730469"	"1242877035.89583"	"1749272653.83507"	"1311432457.75174"	"2521908061.86979"	"706.946"	"4562.99"	"62"
"False"	"High"	"IsMasterProtein"	"P26038"	"Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3"	"0.000"	"640.443"	"78.8561525129983"	"66"	"2385"	"48"	"1"	"577"	"67.8"	"6.40"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"71269369.0503472"	"64276088.2276476"	"21487274.2164714"	"131924980.364583"	"201847948.172743"	"55492496.3003472"	"1679398628.05859"	"951633513.208333"	"1261804450.20139"	"923771264.362847"	"622733158.458333"	"1565041039.08333"	"1510.775"	"4475.66"	"66"
"False"	"High"	"IsMasterProtein"	"P20702"	"Integrin alpha-X OS=Homo sapiens OX=9606 GN=ITGAX PE=1 SV=3"	"0.000"	"633.494"	"70.0773860705073"	"67"	"2578"	"65"	"1"	"1163"	"127.7"	"6.64"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Not Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"126454464.760417"	"139702276.931424"	"38827142.4166667"	"350094253.314236"	"503377817.357639"	"220007315.889323"	"62864895.0833333"	"2081312820.99349"	"1127930267.37153"	"985864664.607639"	"833308715.842014"	"1196604151.20052"	"95.235"	"4989.08"	"67"
